keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Cathegory
mercedes benz,37.16666666666666,30.166666666666668,35.833333333333336,41.5,41.66666666666666,63.333333333333336,75.08333333333333,60.25,58.16666666666666,56.583333333333336,63.0,60.75,58.583333333333336,53.41666666666666,45.91666666666666,43.16666666666666,40.41666666666666,39.5,Cars
bmw,14.166666666666666,13.25,13.083333333333334,13.583333333333334,14.5,14.583333333333334,14.083333333333334,12.916666666666666,13.333333333333334,14.5,16.0,17.0,17.5,17.583333333333332,17.333333333333332,25.58333333333333,16.916666666666668,16.416666666666668,Cars
volkswagen,77.83333333333333,78.41666666666667,73.25,71.66666666666667,73.83333333333333,74.0,73.58333333333333,73.91666666666667,72.33333333333333,69.91666666666667,65.75,72.58333333333333,70.75,73.41666666666667,76.25,74.25,73.0,75.66666666666667,Cars
vw,72.25,71.75,67.91666666666667,70.5,76.75,79.66666666666667,83.0,80.83333333333333,80.16666666666667,78.66666666666667,76.16666666666667,82.08333333333333,85.0,87.91666666666667,85.75,85.66666666666667,81.5,79.25,Cars
volkswagen golf,73.41666666666667,67.0,62.0,58.083333333333336,65.33333333333333,63.75,62.41666666666666,56.25,54.66666666666666,59.833333333333336,59.75,60.083333333333336,58.833333333333336,59.083333333333336,57.083333333333336,56.91666666666666,54.41666666666666,52.333333333333336,Cars
peugeot 208,5.416666666666667,1.25,2.6666666666666665,1.9166666666666667,1.1666666666666667,2.1666666666666665,3.083333333333333,7.75,50.083333333333336,49.16666666666666,47.66666666666666,43.91666666666666,46.0,47.66666666666666,48.25,66.16666666666667,78.5,80.75,Cars
dacia sandero,6.333333333333333,1.0,0.0,1.3333333333333333,14.5,27.08333333333333,25.08333333333333,17.75,12.416666666666666,25.33333333333333,14.166666666666666,15.5,15.583333333333334,20.33333333333333,18.166666666666668,18.33333333333333,17.416666666666668,45.25,Cars
skoda octavia,23.0,36.41666666666666,27.416666666666668,30.666666666666668,28.58333333333333,43.833333333333336,52.083333333333336,44.5,40.5,76.0,76.75,62.583333333333336,61.333333333333336,71.16666666666667,67.58333333333333,66.75,60.583333333333336,59.0,Cars
ford f150,31.25,9.166666666666666,11.666666666666666,13.5,16.083333333333332,15.083333333333334,14.25,22.5,16.916666666666668,20.916666666666668,18.666666666666668,25.08333333333333,25.25,28.416666666666668,31.08333333333333,30.33333333333333,28.75,29.33333333333333,Cars
chevrolet silverado,28.416666666666668,5.25,8.5,8.25,6.5,3.083333333333333,2.833333333333333,6.583333333333333,7.083333333333333,6.0,3.5,7.333333333333333,6.75,7.083333333333333,7.083333333333333,7.916666666666667,7.0,6.583333333333333,Cars
autisme,60.75,65.75,63.333333333333336,65.75,63.0,70.25,70.0,68.58333333333333,65.58333333333333,65.58333333333333,65.0,64.33333333333333,62.41666666666666,69.25,73.75,76.25,69.58333333333333,77.16666666666667,Conspiracy Theories
Chemtrails,16.083333333333332,12.0,9.0,19.33333333333333,15.166666666666666,17.75,17.416666666666668,16.916666666666668,22.08333333333333,20.916666666666668,25.416666666666668,26.416666666666668,24.83333333333333,19.25,16.5,12.25,14.833333333333334,18.0,Conspiracy Theories
27 Club,3.4166666666666665,1.1666666666666667,3.4166666666666665,2.1666666666666665,2.75,3.25,3.6666666666666665,13.583333333333334,6.166666666666667,8.166666666666666,6.833333333333333,10.583333333333334,8.25,7.5,12.916666666666666,8.833333333333334,12.666666666666666,9.416666666666666,Conspiracy Theories
Nieuwe wereldorde,28.33333333333333,8.333333333333334,2.4166666666666665,0.0,1.8333333333333333,6.166666666666667,6.0,2.583333333333333,1.5833333333333333,1.8333333333333333,2.833333333333333,1.6666666666666667,1.1666666666666667,1.3333333333333333,1.6666666666666667,1.8333333333333333,6.416666666666667,4.416666666666667,Conspiracy Theories
