Cathegory,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Housing,621.3333333333334,621.3333333333334,621.3333333333334,621.3333333333334,31.9375,30.333333333333332,30.138888888888886,30.659722222222218,34.375,32.020833333333336,28.715277777777775,34.38194444444444,30.138888888888886,28.388888888888886,25.777777777777775,23.291666666666668,21.5,20.972222222222218,19.17361111111111,17.98611111111111,16.854166666666668,16.583333333333332
Ideology,637.8275862068965,637.8275862068965,637.8275862068965,637.8275862068965,32.020114942528735,26.856321839080458,24.017241379310345,21.54310344827586,21.46551724137931,19.06896551724138,18.520114942528732,18.86494252873563,18.554597701149422,18.801724137931036,19.19252873563218,20.132183908045977,20.92816091954023,21.304597701149422,22.666666666666668,21.49137931034483,22.100574712643677,21.35632183908046
Illegal Drugs,619.8571428571429,619.8571428571429,619.8571428571429,619.8571428571429,30.994047619047617,30.729166666666664,28.339285714285715,27.708333333333332,27.642857142857142,26.672619047619044,27.142857142857142,33.55952380952381,36.6875,39.836309523809526,44.029761904761905,43.88095238095239,44.875,46.107142857142854,48.223214285714285,50.57142857142857,48.59523809523809,47.20833333333333
Investing,666.2352941176471,666.2352941176471,666.2352941176471,666.2352941176471,15.220588235294118,14.436274509803921,13.441176470588236,12.495098039215687,12.166666666666668,11.568627450980392,11.049019607843135,12.602941176470589,12.318627450980394,12.96078431372549,13.647058823529411,14.333333333333334,15.220588235294118,19.362745098039213,21.534313725490197,19.57843137254902,25.83823529411765,43.294117647058826
Jobs,724.3,724.3,724.3,724.3,52.96666666666666,47.075,46.075,43.125,42.55,40.233333333333334,39.18333333333333,47.24166666666667,47.041666666666664,47.38333333333333,48.09166666666666,47.80833333333333,44.28333333333333,44.50833333333333,43.09166666666666,43.05833333333333,40.19166666666666,41.24166666666667
Legal Drugs,664.0333333333333,664.0333333333333,664.0333333333333,664.0333333333333,32.11666666666667,33.11388888888889,30.930555555555554,31.69722222222222,30.22222222222222,30.016666666666666,29.8,34.43333333333333,37.075,37.03333333333333,37.916666666666664,39.62777777777777,39.36666666666667,40.55277777777778,41.97222222222222,43.49722222222223,43.75833333333333,43.294444444444444
Low income,695.0909090909091,695.0909090909091,695.0909090909091,695.0909090909091,26.598484848484848,24.469696969696972,21.984848484848484,20.401515151515152,19.439393939393938,23.59090909090909,24.878787878787875,25.257575757575754,25.666666666666664,25.780303030303028,26.409090909090903,27.969696969696965,27.249999999999996,29.272727272727273,28.81060606060606,27.3030303030303,27.765151515151512,26.166666666666664
Marriage,791.6,791.6,791.6,791.6,36.7,26.65,24.78333333333333,23.916666666666668,23.316666666666663,19.55,18.833333333333332,22.416666666666664,24.81666666666667,22.95,25.05,24.2,24.366666666666667,23.899999999999995,25.6,28.35,26.333333333333332,25.533333333333335
News,726.4,726.4,726.4,726.4,31.339743589743588,28.617948717948714,25.52948717948718,23.593589743589742,24.508974358974356,26.047435897435896,30.355128205128203,27.047435897435896,27.167948717948715,27.912820512820513,28.796153846153846,29.394871794871793,27.464102564102564,27.548717948717947,25.54230769230769,25.138461538461538,27.776923076923076,25.148717948717945
Other,716.0,716.0,716.0,716.0,53.30555555555555,38.833333333333336,37.583333333333336,34.97222222222222,33.416666666666664,28.833333333333332,27.94444444444444,32.19444444444444,31.63888888888889,33.666666666666664,33.19444444444444,36.02777777777778,37.94444444444444,34.72222222222222,37.25,34.47222222222222,33.888888888888886,36.19444444444444
Religion,811.9714285714285,811.9714285714285,811.9714285714285,811.9714285714285,29.95238095238095,30.992857142857144,29.22380952380952,27.697619047619046,26.397619047619045,25.119047619047617,26.647619047619045,30.8,31.83095238095238,31.08095238095238,31.65476190476191,32.1,30.414285714285715,29.79761904761905,30.285714285714285,30.892857142857142,31.70952380952381,31.45
S&P 500,981.4770642201835,981.4770642201835,981.4770642201835,981.4770642201835,21.636276758409785,18.932530581039757,15.476490825688073,14.045298165137615,13.96980122324159,14.03058103975535,14.77675840978593,12.482224770642201,12.617545871559633,12.411697247706423,13.185206422018348,13.751720183486238,13.071483180428134,13.53631498470948,13.980122324159021,15.215596330275229,16.984900611620795,16.63398318042813
Sports,1207.7857142857142,1207.7857142857142,1207.7857142857142,1207.7857142857142,17.452380952380953,17.785714285714285,18.13095238095238,16.922619047619047,17.988095238095237,16.571428571428573,18.976190476190478,20.0,22.333333333333336,21.124999999999996,22.333333333333332,21.214285714285715,24.00595238095238,20.738095238095237,24.357142857142858,22.273809523809522,20.011904761904763,24.767857142857142
Steroids,1213.9285714285713,1213.9285714285713,1213.9285714285713,1213.9285714285713,24.017857142857142,21.25,20.0,18.952380952380953,17.678571428571427,17.422619047619047,17.261904761904763,19.529761904761905,19.470238095238095,20.196428571428573,19.791666666666668,17.83928571428571,17.50595238095238,15.916666666666666,14.898809523809524,15.125,14.892857142857142,12.952380952380953
Tourism,1304.4925373134329,1304.4925373134329,1304.4925373134329,1304.4925373134329,32.082089552238806,29.396766169154226,26.950248756218905,25.898009950248753,23.963930348258707,23.94278606965174,24.427860696517413,26.386815920398007,26.722636815920396,26.965174129353233,28.69278606965174,28.8681592039801,27.931592039800993,28.992537313432837,28.33830845771144,28.53606965174129,20.738805970149254,21.12686567164179
