Cathegory,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Gambling,21.90196078431373,19.07843137254902,20.61764705882353,23.51960784313725,24.74019607843137,24.19117647058824,22.058823529411764,18.78921568627451,20.44117647058824,20.15686274509804,20.75490196078432,20.26960784313725,22.1078431372549,24.42156862745098,25.362745098039216,25.25980392156863,23.63235294117647,25.029411764705884
Games,12.705555555555556,17.73333333333333,16.427777777777777,18.25,21.12222222222222,20.77777777777777,24.86111111111111,28.25555555555556,29.47222222222222,39.9,35.16111111111111,32.172222222222224,25.79444444444444,19.688888888888886,15.83888888888889,16.794444444444444,19.666666666666668,17.383333333333333
Guns,23.619791666666668,17.989583333333332,16.302083333333332,15.3125,15.265625,14.645833333333332,14.703125,15.723958333333332,17.203125,17.932291666666664,19.145833333333336,20.802083333333336,22.041666666666664,19.697916666666664,20.78125,18.619791666666668,20.20833333333333,17.927083333333332
Healthcare,16.24722222222222,15.683333333333334,14.197222222222225,14.411111111111111,14.458333333333334,15.316666666666666,15.752777777777776,17.34722222222222,19.26111111111112,20.163888888888888,22.288888888888888,24.111111111111107,24.105555555555554,25.113888888888887,26.266666666666666,27.71111111111111,29.397222222222226,34.608333333333334
Housing,38.24999999999999,33.725,30.125,31.083333333333336,26.73333333333333,27.4,29.51666666666667,27.35833333333333,25.1,22.766666666666666,21.841666666666665,22.0,23.966666666666665,21.23333333333333,19.891666666666666,21.166666666666664,22.375,26.425
Ideologies,29.22916666666667,18.104166666666668,17.166666666666664,11.8125,14.8125,9.625,8.520833333333332,7.1875,8.25,6.604166666666666,6.416666666666667,10.416666666666668,14.1875,10.666666666666666,7.791666666666667,8.979166666666668,11.375,7.979166666666666
Ideology,33.37,26.94,22.82,19.203333333333333,17.153333333333332,16.023333333333333,16.416666666666664,15.393333333333333,16.39,16.56,18.11,17.41,19.0,18.96333333333333,20.186666666666664,18.856666666666666,20.17333333333333,20.00333333333333
Illegal Drugs,29.669871794871792,27.310897435897434,24.07051282051282,20.98397435897436,21.71153846153846,20.96153846153846,20.509615384615383,23.28205128205128,25.45833333333333,27.102564102564106,30.17948717948718,30.589743589743588,31.47435897435897,32.40384615384615,35.31410256410256,37.714743589743584,37.56410256410256,38.77564102564102
Investing,26.09375,18.807291666666664,18.229166666666664,15.75,14.666666666666666,13.041666666666666,11.911458333333332,12.03125,11.901041666666666,11.984375,12.6875,12.588541666666668,12.984375,15.505208333333332,16.40625,15.609375,21.885416666666664,36.453125
Jobs,28.979166666666668,21.760416666666668,20.3125,18.33333333333333,17.562499999999996,16.885416666666664,16.177083333333332,22.447916666666664,20.270833333333336,20.36458333333333,20.041666666666664,19.67708333333333,19.95833333333333,17.875,18.260416666666668,17.375,17.65625,16.635416666666668
Legal Drugs,29.6547619047619,28.392857142857142,26.08630952380952,24.690476190476183,25.410714285714285,25.357142857142858,24.089285714285715,25.19940476190476,28.321428571428573,31.348214285714285,30.82738095238096,31.372023809523807,31.821428571428573,32.348214285714285,34.151785714285715,37.32440476190476,36.02976190476191,36.32142857142857
Low income,36.302083333333336,28.21875,24.635416666666668,24.53125,24.947916666666664,23.260416666666664,21.604166666666664,20.95833333333333,23.916666666666664,23.697916666666664,25.27083333333333,26.291666666666664,25.875,32.05208333333333,36.21875,31.197916666666664,28.42708333333333,27.46875
