Cathegory,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Gambling,646.4,646.4,646.4,646.4,15.67222222222222,15.044444444444446,16.761111111111113,13.416666666666666,13.6,14.4,14.988888888888887,16.627777777777776,16.394444444444442,16.644444444444442,19.416666666666668,21.133333333333333,27.833333333333332,30.349999999999998,30.927777777777774,32.294444444444444,30.605555555555554,33.483333333333334
Games,698.7857142857143,698.7857142857143,698.7857142857143,698.7857142857143,16.309523809523807,21.065476190476186,20.88095238095238,19.410714285714285,21.50595238095238,19.208333333333336,22.13690476190476,21.470238095238095,23.857142857142858,32.464285714285715,27.761904761904763,26.065476190476186,19.666666666666664,15.863095238095237,13.464285714285714,12.773809523809524,14.232142857142856,11.726190476190476
Guns,724.7692307692307,724.7692307692307,724.7692307692307,724.7692307692307,23.314102564102562,20.474358974358974,17.826923076923077,15.858974358974358,16.814102564102562,17.416666666666664,16.397435897435898,16.98717948717949,17.32051282051282,17.576923076923077,17.589743589743588,18.506410256410255,18.51282051282051,15.602564102564104,17.647435897435898,16.78846153846154,16.935897435897434,16.0
Healthcare,653.4848484848485,653.4848484848485,653.4848484848485,653.4848484848485,24.898989898989896,21.272727272727273,18.760101010101007,16.835858585858585,16.189393939393938,16.11868686868687,16.103535353535353,17.222222222222225,16.363636363636363,16.595959595959595,16.290404040404038,16.785353535353533,17.52020202020202,17.651515151515152,17.242424242424242,17.444444444444443,18.133838383838384,21.863636363636363
Housing,611.4,611.4,611.4,611.4,28.116666666666667,25.041666666666668,23.05,21.866666666666667,20.7,23.35,25.7,24.95,27.26666666666667,26.958333333333332,27.28333333333333,28.391666666666662,30.475,30.69166666666667,28.675,27.8,27.933333333333337,27.725
Ideology,761.0,761.0,761.0,761.0,31.05333333333333,24.75333333333333,21.52,19.043333333333333,18.996666666666666,17.46666666666667,17.96333333333333,18.256666666666664,17.60333333333333,17.226666666666667,16.89,15.813333333333333,16.746666666666666,15.906666666666668,17.23,15.603333333333335,18.15,16.04
Illegal Drugs,791.44,791.44,791.44,791.44,27.01,25.566666666666666,25.226666666666667,23.806666666666665,21.173333333333336,22.08,20.863333333333333,23.283333333333335,24.01,27.43,28.71,31.09,31.93,33.28333333333333,35.34,37.07666666666667,35.92666666666666,35.50666666666667
Investing,728.4117647058823,728.4117647058823,728.4117647058823,728.4117647058823,15.397058823529411,13.426470588235293,11.024509803921568,11.661764705882353,11.181372549019606,11.14705882352941,10.730392156862745,11.117647058823529,10.22549019607843,10.838235294117647,10.67156862745098,11.318627450980394,11.455882352941176,16.495098039215687,17.90686274509804,15.789215686274508,23.90686274509804,38.05392156862745
Jobs,728.4545454545455,728.4545454545455,728.4545454545455,728.4545454545455,32.11363636363637,28.015151515151516,27.727272727272727,27.90909090909091,26.825757575757574,29.75,34.09090909090909,34.07575757575757,36.060606060606055,37.43939393939394,37.848484848484844,37.696969696969695,34.598484848484844,34.378787878787875,35.03787878787878,34.583333333333336,33.71212121212121,33.21212121212121
Legal Drugs,715.3,715.3,715.3,715.3,26.51388888888889,24.905555555555555,23.583333333333332,23.397222222222222,24.13611111111111,25.32222222222222,24.875,26.627777777777776,29.725,30.166666666666668,30.84444444444444,32.375,36.327777777777776,36.67777777777778,38.90555555555556,40.15555555555556,43.952777777777776,44.761111111111106
Low income,792.1111111111111,792.1111111111111,792.1111111111111,792.1111111111111,25.564814814814813,26.02777777777778,23.73148148148148,22.990740740740744,23.648148148148145,28.388888888888886,30.63888888888889,30.23148148148148,29.98148148148148,28.435185185185187,26.86111111111111,25.879629629629633,24.120370370370367,25.092592592592595,25.194444444444443,25.97222222222222,22.925925925925927,19.305555555555557
