keyword,fertility
Muži v černém 3,-0.584661734332483
Hobit: Bitva pěti armád,-0.261528987029758
The Amazing Spider-Man,-0.5120226614148089
Robin Hood,-0.21951863625222148
Hobit: Šmakova dračí poušť,-0.5155312443712406
Zlatý kompas,-0.6031486100040067
Titanic,0.4107078201105849
Jurský svět,0.3257662877008013
Skyfall,-0.09758804516912134
Spider-Man 2,-0.673069452620178
Iron Man 3,-0.0814107421475026
Alenka v říši divů,0.3582873570734151
X-Men: Poslední vzdor,-0.7250572020559543
The Amazing Spider-Man 2,-0.4660090731892058
TRON: Legacy,-0.44464093805714094
Auta 2,-0.3131401925389011
Příběh hraček 3,-0.580979993489003
Terminator Salvation,-0.14930286942344956
Světová válka Z,-0.4007709404299745
X-Men: Budoucí minulost,-0.6489428011556887
Star Trek: Do temnoty,-0.38220955287805247
Jack a obři,-0.5921215332665345
Velký Gatsby,-0.150230386721239
Princ z Persie: Písky času,-0.7761174697563079
Pacific Rim,-0.04333291775198704
Indiana Jones a Království křišťálové lebky,-0.6872139046633751
Hodný dinosaurus,-0.21796247691177256
Rebelka,0.04762380846577116
Star Trek: Do neznáma,-0.6435571627255114
WALL-E,-0.2236114507391533
2012,-0.10533981204790989
Vánoční koleda,-0.46227807308879354
Legenda o Tarzanovi,-0.32152948858013497
X-Men: Apokalypsa,-0.6778405755134397
Temný rytíř,-0.22897013703266503
Vzhůru do oblak,-0.4787601380341771
Monstra vs. vetřelci,-0.787472031655669
Iron Man,0.22213750619247252
Hugo a jeho velký objev,-0.6244996386806109
Divoký západ,-0.6924368059279841
Mumie: Hrob dračího císaře,-0.48226358901669664
Sebevražedný oddíl,-0.02373998069045498
Božský Evan,-0.6145208117065238
Na hraně zítřka,-0.20904622665903969
G.I. Joe,-0.7535689221704548
V hlavě,0.4981792375675189
Iron Man 2,-0.22548653893774304
Sněhurka a lovec,-0.26315782600662574
Úsvit planety opic,-0.49824013485134505
Milenci,-0.5435583087175044
47 róninů,-0.6505124282810391
Captain America: Návrat prvního Avengera,-0.7233014862320434
Shrek: Zvonec a konec,-0.5680066491024369
Země zítřka,-0.594846483286465
Velká šestka,-0.29360236200290785
Raubíř Ralf,-0.36788148916621033
Polární expres,-0.5457035205996721
Den nezávislosti: Nový útok,-0.6062754479278928
Strážci Galaxie,0.6607883062109883
Počátek,-0.0902950242753392
Hobit: Neočekávaná cesta,-0.5764367343514677
Rychle a zběsile,0.42470233607884755
X-Men: První třída,-0.6693730927821288
Hunger Games: Síla vzdoru 2. část ,-0.4585609976620307
Čarodějův učeň,-0.6424207619049144
Poseidon,-0.4343913936500539
Alenka v říši divů: Za zrcadlem,-0.556089496188353
Shrek Třetí,-0.6797786871645067
Warcraft,-0.7635981591336504
Terminátor Genisys,-0.6333926648750189
Letopisy Narnie: Plavba Jitřního poutníka,-0.7852113117684102
Pearl Harbor,-0.6395441885551104
Transformers,0.11591480242015471
Alexander Veliký,-0.6120672097894829
Harry Potter a Fénixův řád,-0.25457062387931595
Harry Potter a Ohnivý pohár,-0.32349716730119465
Hancock,-0.28569335952000235
"Já, legenda",-0.6519008853571552
Karlík a továrna na čokoládu,-0.22510763961026956
Ratatouille,0.013790614042728612
Batman začíná,-0.7431785636690599
Noc v muzeu 2,-0.4052971838711885
X-Men Origins: Wolverine,-0.6407452436458074
Matrix Revolutions,-0.8347264183299026
Ledové království,0.568827462965161
Matrix Reloaded,-0.7596252291859912
Thor: Temný svět,-0.41013389310734594
Šílený Max: Zběsilá cesta,-0.6385754829785466
Andělé a démoni,-0.465763588824169
Thor,0.6708940270709957
Bolt,0.594026632342915
G-Force,-0.6482845823258794
Hněv titánů,-0.43073202412593115
Temné stíny,-0.32521077750519894
Vlkodlak,-0.7688415885012198
Pan Včelka,-0.6847960609899195
Poslední vládce větru,-0.6546106286442233
Mission: Impossible III,-0.6721413446481227
Útok na Bílý dům,-0.6004667911525358
Máma mezi Marťany ,-0.7472671561235324
Spláchnutej,-0.7399844245991382
Pan,0.4856996358184903
Dobrodružství pana Peabodyho a Shermana ,-0.7182950528593386
Troja,-0.6295275703831863
Madagaskar 3,-0.3224963262163622
Dnes neumírej,-0.7597219065109126
Armagedon,-0.8289429973038612
Beowulf,-0.49308495280534814
Kung Fu Panda 3,-0.46932934585839176
Legendární parta,-0.6950142252743435
Finty Dicka a Jane,-0.601824855799024
Poslední samuraj,-0.5705636968550196
Exodus: Bohové a králové,-0.7157709367779462
Star Trek,-0.5743072296870445
Jak vycvičit draka 2,-0.3157059933504546
Bohové Egypta,-0.5476516346204624
Stealth,-0.7528114187812083
Watchmen,-0.05684989130170367
Smrtonosná zbraň 4,-0.6499962445277314
Hulk,0.6442203005479283
G.I. Joe 2: Odveta,-0.48651888172352414
Sahara,-0.6073651081940812
Final Fantasy: Esence života ,-0.6507212408330492
Kapitán Amerika: První Avenger,-0.6807790486687904
Twilight sága: Rozbřesk,-0.7103849559118894
Happy Feet 2,-0.5932662796555037
