keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
venlafaxine,0.0,18.416666666666668,4.583333333333333,4.666666666666667,9.5,4.5,2.333333333333333,3.333333333333333,2.75,3.25,3.25,5.25,2.9166666666666665,4.166666666666667,4.083333333333333,4.916666666666667,4.166666666666667,3.5
emsam,2.9166666666666665,8.333333333333334,1.4166666666666667,3.8333333333333335,1.9166666666666667,1.4166666666666667,1.1666666666666667,0.1666666666666666,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5,0.0833333333333333,0.1666666666666666,0.1666666666666666,0.5
Selegiline,14.583333333333334,0.0,7.166666666666667,4.5,6.5,0.4166666666666667,0.6666666666666666,1.0833333333333333,0.8333333333333334,1.4166666666666667,1.0,0.5,0.5833333333333334,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5,0.5
escalação,7.25,10.75,21.08333333333333,11.833333333333334,12.916666666666666,15.416666666666666,28.75,15.916666666666666,13.166666666666666,11.833333333333334,17.25,13.666666666666666,20.75,30.58333333333333,47.833333333333336,53.41666666666666,42.16666666666666,55.5
spravato,15.166666666666666,9.25,2.75,4.25,0.0,1.5,2.583333333333333,0.6666666666666666,0.6666666666666666,0.4166666666666667,0.5,0.3333333333333333,0.4166666666666667,0.0833333333333333,0.8333333333333334,1.0,1.8333333333333333,1.75
perfenazina,15.5,21.08333333333333,8.583333333333334,1.0833333333333333,3.25,2.333333333333333,1.1666666666666667,0.6666666666666666,0.9166666666666666,1.0833333333333333,0.25,0.0833333333333333,0.0833333333333333,0.4166666666666667,0.0,0.25,0.1666666666666666,0.3333333333333333
amitriptyline,6.833333333333333,12.25,4.5,6.5,2.1666666666666665,2.75,2.4166666666666665,1.1666666666666667,2.0,2.583333333333333,1.6666666666666667,2.333333333333333,1.0,0.5,0.9166666666666666,1.5,1.5,0.8333333333333334
endep,8.333333333333334,10.0,13.833333333333334,4.083333333333333,6.416666666666667,3.5,3.0,0.75,0.9166666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.9166666666666666,0.3333333333333333,0.3333333333333333
desvenlafaxine,0.0,13.833333333333334,10.166666666666666,5.0,3.25,1.5,1.5833333333333333,1.5,1.25,0.25,1.3333333333333333,1.1666666666666667,1.0833333333333333,1.3333333333333333,1.75,1.9166666666666667,1.75,1.9166666666666667
latuda,19.75,9.0,1.25,3.4166666666666665,0.0,1.0,0.9166666666666666,0.6666666666666666,0.4166666666666667,0.25,0.0833333333333333,0.25,0.3333333333333333,0.8333333333333334,10.416666666666666,17.416666666666668,15.083333333333334,14.0
lurasidone,21.916666666666668,7.0,6.833333333333333,2.25,6.5,0.5833333333333334,4.083333333333333,0.9166666666666666,1.3333333333333333,0.1666666666666666,0.3333333333333333,0.5833333333333334,0.4166666666666667,0.6666666666666666,0.4166666666666667,1.3333333333333333,0.1666666666666666,0.25
lamictal,28.0,12.333333333333334,7.75,4.0,1.4166666666666667,1.5,4.75,4.916666666666667,4.583333333333333,5.666666666666667,5.666666666666667,5.916666666666667,5.0,4.916666666666667,5.5,5.75,4.5,5.333333333333333
lamotrigina,15.166666666666666,22.08333333333333,11.833333333333334,8.25,13.25,7.833333333333333,11.583333333333334,10.166666666666666,10.916666666666666,14.416666666666666,14.333333333333334,17.25,18.25,24.08333333333333,30.0,34.833333333333336,35.5,42.0
lexapro,29.0,17.833333333333332,15.583333333333334,13.833333333333334,18.666666666666668,21.166666666666668,20.5,20.08333333333333,17.5,17.25,16.583333333333332,16.75,15.0,14.916666666666666,15.333333333333334,16.25,14.75,15.75
