Keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
tesco,0.0,0.0,0.0,4.170625789168269e-10,8.889077252050015e-10,1.992766174296889e-09,2.963976619696495e-09,3.601396070251894e-09,3.568574880041808e-10,5.854884910228009e-10,2.274515159550461e-10,4.6561776656517395e-10,4.352621041370241e-10,5.290539673019623e-10,1.3579251056938801e-09,2.68438410389038e-10
leasing,3.5545008358894837e-07,2.9019977887401183e-07,3.083609101395268e-07,2.506546081804117e-07,3.466739997293189e-07,2.9443120297401043e-07,3.003496544806694e-07,3.045180676508607e-07,2.383808066497295e-07,2.239493426259287e-07,2.47012337695196e-07,2.5958189553421097e-07,2.0762001895491261e-07,2.724627847783267e-07,1.626794272624465e-07,2.03476318461071e-07
duloxetine,4.592378421985898e-10,4.69578931294734e-10,0.0,2.50237541798981e-09,1.333361643318653e-09,3.487340860530707e-09,9.879922435729327e-10,4.0015510904822804e-09,4.282290078094775e-09,1.463721255312577e-09,2.7294182469717043e-09,1.164044416412934e-09,1.0881552325869841e-09,1.3226348904993301e-09,5.431700644820125e-10,1.073753641556152e-09
Bière,4.6015631482987374e-07,3.399751449251198e-07,4.775728825734404e-07,3.58673815981092e-07,3.973417506131227e-07,4.857367343902297e-07,4.584283885833429e-07,5.662195121658442e-07,5.54199687030632e-07,4.3648165615195456e-07,5.047149329584499e-07,7.361417146967142e-07,5.538710183827789e-07,5.100080215925118e-07,5.304055434862676e-07,6.445206395255809e-07
Testostérone,2.5717319829254838e-08,2.2070210548008608e-08,2.0185185078958047e-08,3.461619257905113e-08,3.155622252393186e-08,3.7364365823577834e-08,4.594163982574173e-08,6.882667946683796e-08,7.208521424217906e-08,3.5129311015680293e-08,3.5709888379642514e-08,4.842424772277809e-08,3.765017098089629e-08,3.756283106781666e-08,3.1503862629733697e-08,3.409167703694038e-08
thérapeute,3.947608547e-06,5.264918854e-06,4.707442712e-06,5.707084255e-06,5.37744745e-06,6.604027021e-06,6.779108844e-06,1.3065865459e-05,9.963104275e-06,7.291673682000001e-06,6.101841790000001e-06,6.223679974000001e-06,5.716514806000001e-06,9.119038622e-06,7.984056537000001e-06,9.009866516e-06
Nasdaq,2.0665703459599172e-07,1.084727330180612e-07,1.073680024887835e-07,1.5931790642298427e-07,1.062244763261333e-07,1.330171386371148e-07,1.506688107610898e-07,2.232865625728664e-07,1.0348867363063609e-07,1.2792924053428568e-07,9.393747291142063e-08,1.019702935423083e-07,1.0511579517924469e-07,1.0872059164057639e-07,8.391977246446913e-08,1.108650664605193e-07
hydratation,4.431645095337444e-07,6.301749522208411e-07,5.183727012081363e-07,5.863900014446699e-07,6.462358896897058e-07,6.835188059994834e-07,7.597660101055226e-07,1.011192011e-06,1.114822794e-06,6.586745371350844e-07,5.463385264192766e-07,6.672302674814999e-07,6.309124387371412e-07,7.311525678233011e-07,7.115527864698379e-07,6.716329039591075e-07
autisme,2.2723088470000003e-06,1.883950631e-06,2.3938769110000003e-06,1.5431315880000001e-06,2.1511566500000003e-06,2.059523922e-06,2.594467559e-06,3.0951998720000004e-06,3.320915766e-06,2.8129793460000003e-06,2.5351746440000002e-06,2.8498134270000003e-06,2.368478817e-06,2.9018610800000004e-06,2.4135761120000002e-06,4.194350367e-06
Gin,1.111355558691684e-07,1.108206291178248e-07,1.2025216733491098e-07,1.0927039539865291e-07,1.320027962492531e-07,1.135876743774133e-07,1.0818514795118969e-07,1.596618943722205e-07,2.972622894503729e-07,3.6680853554571513e-07,6.148014222162601e-07,4.388447507608362e-07,2.583280718226888e-07,7.755930937491939e-07,8.427283546552644e-07,4.104423396711354e-07
