keyword,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
lamictal,20.58333333333333,15.416666666666666,8.666666666666666,12.0,13.083333333333334,13.416666666666666,12.75,10.333333333333334,10.333333333333334,7.833333333333333,9.833333333333334,9.583333333333334,9.25,11.5,11.166666666666666,13.166666666666666,10.333333333333334,11.166666666666666
lamotrigine,17.25,4.333333333333333,5.166666666666667,3.083333333333333,1.9166666666666667,1.0,0.4166666666666667,1.0,0.75,1.4166666666666667,2.0,1.5833333333333333,2.4166666666666665,0.9166666666666666,1.0833333333333333,1.0833333333333333,1.3333333333333333,2.583333333333333
lexapro,11.333333333333334,16.666666666666668,18.08333333333333,8.083333333333334,12.416666666666666,18.5,13.0,4.75,3.25,5.75,5.166666666666667,7.083333333333333,10.916666666666666,6.75,10.416666666666666,10.75,6.833333333333333,10.416666666666666
clordiazepóxido,14.75,16.083333333333332,0.0,3.4166666666666665,4.25,6.25,3.9166666666666665,0.0,1.5833333333333333,0.0,2.75,3.1666666666666665,2.583333333333333,1.5833333333333333,1.5,3.4166666666666665,4.5,4.75
nardil,15.166666666666666,15.833333333333334,3.75,5.833333333333333,4.75,1.1666666666666667,3.4166666666666665,2.75,1.9166666666666667,2.833333333333333,2.083333333333333,2.0,0.9166666666666666,1.6666666666666667,0.5833333333333334,2.0,0.5,1.1666666666666667
fenelzina,8.333333333333334,5.25,2.1666666666666665,3.5,3.0,2.5,2.1666666666666665,0.5833333333333334,1.3333333333333333,2.333333333333333,1.5833333333333333,0.5,0.5,1.0,1.8333333333333333,0.3333333333333333,1.0,0.5833333333333334
desipramina,7.25,10.833333333333334,6.916666666666667,2.6666666666666665,2.75,0.9166666666666666,1.8333333333333333,0.0,1.25,2.0,0.8333333333333334,0.8333333333333334,0.9166666666666666,1.75,1.0833333333333333,0.8333333333333334,1.0,1.5833333333333333
pamelor,8.333333333333334,5.0,16.0,6.083333333333333,6.416666666666667,0.0,4.25,4.25,3.6666666666666665,1.4166666666666667,2.333333333333333,1.0833333333333333,2.333333333333333,0.5833333333333334,1.5833333333333333,1.0833333333333333,0.8333333333333334,2.583333333333333
parnate,8.333333333333334,11.583333333333334,7.0,2.25,0.0,2.6666666666666665,0.0,0.0,1.75,1.8333333333333333,0.5,1.3333333333333333,0.1666666666666666,1.0,1.5833333333333333,1.0833333333333333,0.4166666666666667,0.4166666666666667
tranilcipromina,7.166666666666667,10.833333333333334,7.75,1.0833333333333333,2.5,0.5833333333333334,3.25,2.25,0.9166666666666666,1.4166666666666667,0.25,3.083333333333333,0.5833333333333334,1.75,0.0,0.5,1.1666666666666667,0.8333333333333334
paxil,24.916666666666668,4.583333333333333,7.083333333333333,7.416666666666667,7.583333333333333,5.916666666666667,3.8333333333333335,3.583333333333333,3.5,1.0833333333333333,2.833333333333333,2.25,3.5,3.5,2.4166666666666665,2.083333333333333,2.333333333333333,2.833333333333333
paroxetina,64.66666666666667,57.91666666666666,58.91666666666666,56.0,56.25,52.16666666666666,49.583333333333336,51.91666666666666,61.583333333333336,66.66666666666667,67.41666666666667,71.5,68.58333333333333,63.16666666666666,63.16666666666666,64.83333333333333,60.333333333333336,66.58333333333333
prozac,52.75,56.833333333333336,59.333333333333336,48.41666666666666,40.75,36.333333333333336,33.75,37.333333333333336,35.083333333333336,34.916666666666664,33.166666666666664,27.5,23.166666666666668,24.33333333333333,22.25,21.5,21.25,20.75
pristiq,24.166666666666668,11.666666666666666,5.583333333333333,2.583333333333333,5.166666666666667,3.8333333333333335,0.6666666666666666,2.583333333333333,0.3333333333333333,8.333333333333334,30.08333333333333,33.916666666666664,30.75,34.583333333333336,37.41666666666666,35.333333333333336,33.916666666666664,40.66666666666666
quetiapina,0.0,1.3333333333333333,4.25,3.9166666666666665,6.333333333333333,7.5,13.833333333333334,17.666666666666668,24.08333333333333,29.33333333333333,35.416666666666664,40.75,39.5,46.41666666666666,50.5,60.66666666666666,66.75,71.33333333333333
